Code Client,Intitulé,Tél 1,Tél 2,Profession,Société,Mail,Adresse
000000001,passager ,,,,,,
41100001,LA CIGONE BEJA,78 452 944,98 446 567,MR FADHEL MEKI,LA CIGONE BEJA,,28 RUE ABOU EL KACEM ECHEBBI 9000 BEJA
41100002,ETS ENNAJEH BEN GARDANE,98 433 501,75 710 500,MR BECHIR,ETS ENNAJEH BEN GARDANE,,12 RUE MONJI SLIM BENI GARDEN
41100003,E S T  GROS BIZERTE,72 221 136,23 548 358,,E S T  GROS BIZERTE,,
41100004,STE CLASS BALGHAGI BIZERTE,72 431 936,,MR ABDALLAH NASER,STE CLASS BALGHAGI BIZERTE,,11 RUE DE VENISE 7000 BIZERT
41100006,STE MELLAH BIZERTE,72 422 118,,MR MELLAH HABIB,STE MELLAH BIZERTE,,DEVANT LAGUARE BIZERTE
41100007,STE TANWIR BIZERTE,,,,STE TANWIR BIZERTE,,
41100010,GROUPEMENT GABIESSIEN GABES,75 278 374,98 420 249,MR MONGI CHAGRA,GROUPEMENT GABIESSIEN GABES,,144 HABIB BOURGUIBA GABES
41100011,STE SOUID EL HANNA GABES,98 212 524,75 330 111,MR SOUID YOUSSEF,STE SOUID EL HANNA GABES,,79 AV ECHOUHADA EL HAMMA GABES
41100012,SED GABES,75 390 746,75 390 290,MR CHAGRA ALI  98 420 104,SED GABES,,AV JAMEL ABDENNASER S.BOULBABA 6012 GABES
41100022,STE CHEIMA DISTRUBI KORBA,72384048,98226238,MR NAJJAR ABDELILEH/KARIMA 72 388136,STE CHEIMA DISTRUBI KORBA,,RUE DE TUNIS KORBA
41100023,STE EL ARABIA MAHDIA,98 408 191,73 653 903,MR KHALED LAHLAOUI,STE EL ARABIA MAHDIA,,MAHDIA
41100024,NODIS MEDNINE,98 423 552,,,NODIS MEDNINE,,
41100025,STE FETHI KOUBAA MEDNINE,,,MR FETHI KOUBAA,STE FETHI KOUBAA MEDNINE,,
41100026,GANNOUN MONASTIR,98 562 823,,MR HASSINE,GANNOUN MONASTIR,,44 RUE FARHAT HACHED 5070 K. HELLEL
41100027,SLD MONASTIR,73 461 806,73 462 311,MR ESSID HABIB 98 456 753,SLD MONASTIR,,AV TAIEB EL MHIRI MONASTIR 5000
41100028,LE PROGRES TUNIS,71 346 225,21 223 963,MR SAMI MAALA,LE PROGRES TUNIS,,2 AV HABIB THEMER TUNIS 1069
41100029,LIBRAIRIE BOUSLAMA MONASTIR,73 500 834,21 609 209,MR AHMED BOUSLAMA,LIBRAIRIE BOUSLAMA MONASTIR,,LIBRAIRIE BOUSLAMA MONASTIR
41100030,STE AMMAR NOUREDDINE MONASTIR,,,MR AMMAR NOUREDDINE,STE AMMAR NOUREDDINE MONASTIR,,
41100031,STE AMMAR K HELLEL,73 455 290,98 406 398,MR AMMAR EZZEDDINE,STE AMMAR K HELLEL,,AV MAHMOUD ALI BOURGUIBA L HELLEL
41100032,STE RANIM NABEUL,98 226 047,72 320 027,MR ADEL KERKENI,STE RANIM NABEUL,,RUE DAR CHAABENE NABEUL
41100033,ESPACE EL JIL NABEUL,72 364 041,20 390 000,MR NABIL,ESPACE EL JIL NABEUL,,AV TAHER SFAR DAR CHAABANE EL FEHRI NABEUL
41100034,STE BOUASSIDA SFAX,74 225 597,,MR KOSTANTINI SADEK,STE BOUASSIDA SFAX,,AV ECHOUHADA SFAX
41100035,STE EL MOUNA SFAX,74 229 162,,MR ABDELAZIZI KAMOUN,STE EL MOUNA SFAX,,RUE MOURETANI IMMEUBLE JERBI SFAX
41100036,STE SODIFEC SFAX,74 297 774,23 232 201,MR ABDERRAZAK AMMAR,STE SODIFEC SFAX,,16 RUE PATRICE LOMIMBA SFAX
41100037,STE GROS 21 SFAX,74 461 030,98 419 909,MR HICHEM,STE GROS 21 SFAX,,ROUTE MENZEL CHAKER 51 AV MED KACEM MSEDDI SFAX
41100038,STE PLUME DOR SFAX,74 461 030,98 419 909,,STE PLUME DOR SFAX,,
41100039,KALAMI SFAX,74 461 850,98 335 233,MR EZZET GORBAL,KALAMI SFAX,,RUE MENZEL CHAKER KM 0.5 IMMEUBLE ERRIADH SFAX
41100040,STE FENDRI SFAX,74 871 178,,MR MED,STE FENDRI SFAX,,RTE SIDI MANSOUR KM 4 SFAX
41100041,LE PROGRES SFAX,,,MR ABDELWAHEB,LE PROGRES SFAX,,
41100043,MAKTABI SFAX,,,,MAKTABI SFAX,,
41100044,GROS EXPERT SFAX,,,,GROS EXPERT SFAX,,
41100045,STE DOUIK SOUSSE,73 221 923,,MR RIDHA,STE DOUIK SOUSSE,,RUE 1 JANVIER 1952 SOUSSE
41100046,STE ADEL HICHEM RAIES SOUSSE,73 224 760,,MR ADEL ERRAIES,STE ADEL HICHEM RAIES SOUSSE,,AV ALI BEY SOUSSE PORT
41100047,TENWIR SOUSSE,98 687 931,,,TENWIR SOUSSE,,
41100048,SIAB SOUSSE,73 240 248,98 684 822,MR IHEB 22 254 098,SIAB SOUSSE,,AV HASSEN BEN SAID KHEZAMA OUEST SOUSSE
41100049,LIBERTY SOUSSE,73 304 781,26 400 874,MR JOMAA BOUNEB,LIBERTY SOUSSE,,RUE ABDERRAHMEN EBN ABI BAKR CITE ERRIADH SOUSSE
41100050,SAHLOUL DISTRUBUTION SOUSSE,73 361 041,98 451 944,MR AMARI HEDI,SAHLOUL DISTRUBUTION SOUSSE,,AV EL HORRIA N° 114 SAHLOUL HAMMEM SOUSSE
41100051,AMAZONA SOUSSE,73.36785,73.367608,HELMI 24.530182--ANIS 24.530180,AMAZONA SOUSSE,,AV.MONGI GRIRA RUE SAFIA FARHAT
41100052,STE HAJLAOUI SIDI BOUZID,98 417 628,,MR FATHI,STE HAJLAOUI SIDI BOUZID,,
